map, turns, p1score, p1_dest_list, p2score, p2_dest_list
india,72,101,34
india,62,91,106
india,60,77,66
india,63,81,83
india,64,90,96
india,62,87,92
india,74,107,102
india,82,125,84
india,69,76,66
india,65,79,93
india,73,112,36
india,68,74,112
india,70,84,81
india,67,103,111
india,76,124,87
india,72,112,106
india,66,83,91
india,65,96,92
india,68,94,59
india,70,78,111
india,74,120,83
india,72,84,107
india,63,79,93
india,70,44,123
india,78,54,110
india,63,-4,113
india,58,80,104
india,60,66,112
india,68,115,74
india,69,95,97
india,68,107,44
india,70,92,106
india,67,103,111
india,67,20,125
india,63,83,84
india,66,97,109
india,67,86,88
india,70,89,97
india,67,95,93
india,63,88,34
india,74,112,73
india,74,99,70
india,61,68,81
india,65,78,117
india,68,81,115
india,75,109,90
india,65,100,92
india,68,70,100
india,68,60,122
india,73,63,72
india,66,102,112
india,62,93,45
india,87,120,103
india,74,98,100
india,66,91,87
india,70,97,107
india,64,90,112
india,78,101,101
india,59,59,102
india,67,74,93
india,75,78,117
india,74,98,102
india,74,62,87
india,68,95,109
india,74,127,77
india,66,95,85
india,59,84,92
india,72,98,106
india,68,93,97
india,70,101,111
india,64,88,77
india,67,114,33
india,66,103,48
india,66,97,110
india,60,86,34
india,64,94,82
india,66,108,79
india,64,77,103
india,71,100,46
india,72,91,94
india,69,109,93
india,68,96,105
india,72,95,112
india,69,117,67
india,71,101,56
india,77,99,78
india,60,99,73
india,77,128,91
india,58,96,103
india,68,92,90
india,71,96,103
india,72,70,92
india,76,115,108
india,73,107,107
india,73,102,92
india,72,107,108
india,70,80,99
india,66,98,58
india,72,121,102
india,66,104,84
india,81,96,93
india,65,104,79
india,70,95,87
india,64,86,43
india,67,92,109
india,60,80,48
india,66,62,111
india,70,120,83
india,82,119,86
india,70,116,79
india,60,-2,108
india,67,82,122
india,74,35,111
india,70,96,102
india,66,90,40
india,65,84,73
india,66,82,81
india,63,98,37
india,71,125,102
india,68,39,99
india,72,107,72
india,61,86,97
india,65,124,29
india,66,96,92
india,75,109,104
india,70,38,128
india,62,107,110
india,67,122,83
india,68,4,118
india,72,100,90
india,58,67,33
india,74,104,110
india,74,100,104
india,66,104,75
india,69,101,88
india,74,100,119
india,74,1,104
india,74,106,91
india,53,102,12
india,71,94,27
india,64,83,94
india,74,80,120
india,71,96,111
india,65,83,113
india,74,22,102
india,76,101,99
india,69,109,103
india,68,118,70
india,71,68,97
india,69,66,98
india,67,73,95
india,74,68,49
india,65,64,113
india,76,113,89
india,66,100,99
india,80,130,104
india,67,87,56
india,65,87,95
india,72,104,87
india,70,95,122
india,72,129,28
india,70,114,77
india,69,112,80
india,77,114,85
india,69,76,102
india,64,95,69
india,69,111,74
india,71,108,85
india,65,72,79
india,68,83,92
india,57,109,71
india,63,119,103
india,71,110,94
india,65,100,100
india,65,79,119
india,73,107,105
india,68,108,97
india,66,91,104
india,72,101,81
india,69,94,88
india,73,108,77
india,64,99,67
india,59,66,92
india,70,2,96
india,63,89,75
india,68,95,101
india,63,86,57
india,71,73,97
india,67,102,33
india,76,131,92
india,66,103,44
india,64,80,35
india,67,41,78
india,69,110,81
india,60,84,80
india,64,77,103
india,70,114,95
india,58,53,114
india,67,94,79
india,66,98,96
india,71,104,89
india,63,93,75
india,69,99,76
india,68,63,93
india,75,121,99
india,67,12,119
india,63,15,97
india,70,86,90
india,64,99,34
india,67,103,97
india,74,105,78
india,60,86,131
india,69,92,98
india,61,105,64
india,75,23,81
india,59,78,116
india,64,92,30
india,67,87,115
india,80,100,94
india,71,113,76
india,68,101,93
india,66,83,62
india,59,91,47
india,60,103,33
india,60,65,100
india,70,87,83
india,63,38,103
india,64,97,124
india,60,107,78
india,69,100,75
india,69,111,94
india,77,108,89
india,65,83,93
india,64,109,114
india,67,110,102
india,63,68,121
india,76,95,115
india,71,91,81
india,66,71,100
india,58,80,112
india,72,74,112
india,64,102,100
india,69,82,106
india,64,78,70
india,63,104,47
india,70,105,105
india,72,86,117
india,77,114,102
india,73,114,61
india,73,99,76
india,71,114,93
india,63,101,92
india,78,82,102
india,69,108,75
india,63,72,101
india,69,15,93
india,67,98,102
india,74,105,72
india,69,94,99
india,77,105,106
india,69,95,83
india,79,94,100
india,67,109,84
india,72,108,80
india,64,47,83
india,61,83,42
india,60,105,86
india,81,67,114
india,70,96,120
india,82,120,76
india,70,111,76
india,72,122,92
india,65,88,82
india,75,90,101
india,71,119,96
india,72,108,81
india,64,104,35
india,63,100,73
india,70,78,95
india,64,78,105
india,66,85,84
india,69,-1,112
india,70,122,96
india,66,98,88
