map, turns, p1score, p1_dest_list, p2score, p2_dest_list
europe,61,95,114
europe,65,31,56
europe,60,79,92
europe,59,112,26
europe,76,49,86
europe,65,46,96
europe,64,46,32
europe,66,53,113
europe,77,116,95
europe,63,96,95
europe,66,75,62
europe,65,120,103
europe,64,13,69
europe,68,107,76
europe,58,131,5
europe,65,98,103
europe,70,133,20
europe,71,82,99
europe,67,107,107
europe,63,105,87
europe,59,74,52
europe,65,110,103
europe,56,35,64
europe,62,121,99
europe,62,82,100
europe,59,82,42
europe,65,99,103
europe,71,96,115
europe,59,112,70
europe,65,114,31
europe,68,140,33
europe,57,68,19
europe,61,91,75
europe,66,109,79
europe,65,136,114
europe,61,73,102
europe,60,76,32
europe,65,97,108
europe,66,33,109
europe,60,32,119
europe,62,98,106
europe,67,109,5
europe,71,87,118
europe,58,98,37
europe,75,50,118
europe,61,109,91
europe,66,51,99
europe,67,97,95
europe,69,42,113
europe,68,113,74
europe,62,0,105
europe,64,109,92
europe,73,85,69
europe,69,115,90
europe,59,98,66
europe,69,105,84
europe,73,50,66
europe,63,62,102
europe,77,-113,8
europe,66,15,52
europe,63,113,58
europe,65,126,45
europe,64,106,104
europe,58,102,95
europe,62,91,107
europe,73,111,128
europe,65,120,54
europe,72,28,126
europe,64,41,76
europe,68,95,72
europe,59,22,30
europe,62,82,46
europe,59,111,19
europe,57,46,53
europe,61,79,99
europe,59,100,39
europe,63,101,71
europe,69,43,32
europe,63,25,16
europe,67,36,106
europe,65,-126,97
europe,69,62,36
europe,55,96,64
europe,64,18,103
europe,59,88,101
europe,62,47,20
europe,71,105,98
europe,64,109,97
europe,65,81,95
europe,65,105,101
europe,80,104,95
europe,73,105,66
europe,68,102,62
europe,58,87,112
europe,63,27,97
europe,69,117,51
europe,64,68,76
europe,78,111,114
europe,75,58,91
europe,64,64,101
europe,70,33,61
europe,67,109,96
europe,62,-9,79
europe,61,108,95
europe,70,62,100
europe,60,95,74
europe,64,146,96
europe,64,47,105
europe,65,70,90
europe,64,94,88
europe,62,84,98
europe,65,104,102
europe,59,94,16
europe,64,37,101
europe,71,115,99
europe,72,121,98
europe,67,46,105
europe,59,17,113
europe,67,119,86
europe,68,41,95
europe,57,111,17
europe,68,42,88
europe,60,102,80
europe,63,110,102
europe,68,54,84
europe,65,40,50
europe,63,122,91
europe,71,147,97
europe,67,127,85
europe,60,101,82
europe,66,44,121
europe,65,95,70
europe,66,93,63
europe,61,115,30
europe,66,41,59
europe,61,98,96
europe,64,51,29
europe,57,109,49
europe,58,76,31
europe,75,96,99
europe,70,75,110
europe,59,89,76
europe,57,89,99
europe,62,108,76
europe,58,51,101
europe,64,82,114
europe,63,95,51
europe,63,115,75
europe,60,98,82
europe,66,76,59
europe,59,106,67
europe,76,116,90
europe,62,99,42
europe,68,115,86
europe,63,27,115
europe,67,45,59
europe,69,113,116
europe,60,66,124
europe,63,27,104
europe,64,88,25
europe,60,103,43
europe,65,115,102
europe,69,-6,109
europe,67,110,74
europe,65,31,85
europe,62,80,98
europe,63,34,88
europe,63,30,93
europe,70,97,72
europe,67,117,92
europe,68,105,57
europe,75,54,109
europe,76,41,97
europe,67,103,93
europe,61,54,77
europe,66,92,63
europe,68,112,67
europe,58,98,3
europe,60,108,26
europe,65,82,93
europe,60,40,95
europe,61,40,115
europe,65,54,69
europe,61,107,33
europe,57,28,75
europe,70,17,97
europe,66,119,52
europe,59,112,68
europe,63,109,53
europe,66,93,85
europe,60,99,48
europe,67,109,45
europe,60,119,104
europe,72,114,98
europe,62,96,31
europe,57,79,105
europe,71,108,34
europe,64,104,107
europe,69,60,105
europe,61,-132,113
europe,59,79,36
europe,64,82,68
europe,68,137,45
europe,59,98,82
europe,77,59,29
europe,63,106,36
europe,64,85,128
europe,61,102,64
europe,58,110,34
europe,66,107,83
europe,71,115,24
europe,56,62,110
europe,60,95,73
europe,63,81,75
europe,66,79,93
europe,61,113,65
europe,70,97,88
europe,78,84,105
europe,56,108,2
europe,56,101,37
europe,64,126,87
europe,67,105,87
europe,68,90,97
europe,68,113,101
europe,69,110,67
europe,62,116,71
europe,62,108,61
europe,62,107,10
europe,63,65,94
europe,62,80,128
europe,64,101,102
europe,59,113,50
europe,59,112,78
europe,63,64,124
europe,61,100,30
europe,61,32,105
europe,58,123,-19
europe,65,113,58
europe,69,54,105
europe,66,71,93
europe,60,96,105
europe,63,111,62
europe,60,63,96
europe,68,48,131
europe,71,95,99
europe,65,100,103
europe,61,109,49
europe,61,92,102
europe,67,100,99
europe,64,98,82
europe,66,56,4
europe,74,115,27
europe,75,123,94
europe,55,29,19
europe,61,94,24
europe,59,27,108
europe,63,56,111
europe,66,106,92
europe,64,45,97
europe,60,129,85
europe,68,97,110
europe,63,74,68
europe,58,95,72
europe,61,107,62
europe,64,82,67
europe,61,38,91
europe,57,109,35
europe,66,38,84
europe,59,98,79
europe,68,97,94
europe,58,100,2
europe,59,46,105
europe,58,64,111
europe,65,41,39
europe,61,98,42
europe,59,111,22
europe,61,87,102
europe,59,108,109
europe,70,25,69
europe,65,100,91
europe,63,47,99
europe,64,45,74
europe,69,130,81
europe,71,53,73
europe,61,73,78
europe,65,27,103
europe,70,124,70
europe,58,99,11
europe,68,96,70
europe,83,134,69
europe,61,116,95
europe,56,124,66
europe,65,104,106
europe,70,114,26
europe,70,113,52
europe,70,30,63
europe,59,97,93
europe,65,104,101
europe,72,-130,110
europe,65,114,98
europe,61,115,24
europe,65,104,100
europe,63,69,59
europe,67,112,103
europe,76,68,113
europe,61,94,108
europe,60,130,30
europe,56,49,49
europe,80,100,55
europe,65,114,-10
europe,67,119,100
europe,79,36,90
europe,69,88,103
europe,66,124,73
europe,71,66,91
europe,63,109,26
europe,58,78,109
europe,60,88,37
europe,64,21,102
europe,68,97,97
europe,62,95,109
europe,61,27,72
europe,62,102,83
europe,65,62,112
europe,63,103,79
europe,68,110,82
europe,65,106,90
europe,64,86,97
europe,64,46,100
europe,60,83,81
europe,65,100,71
europe,65,65,43
europe,61,96,96
europe,55,49,85
europe,60,102,56
europe,60,98,27
europe,68,102,64
europe,74,58,104
europe,66,37,101
europe,69,31,99
europe,65,90,57
europe,63,96,107
europe,62,-115,95
europe,56,110,71
europe,69,109,98
europe,56,59,110
europe,66,116,112
europe,65,124,81
europe,59,120,40
europe,58,96,87
europe,63,76,30
europe,69,85,49
europe,62,101,103
europe,56,80,74
europe,60,97,95
europe,73,135,101
europe,80,118,96
europe,68,130,91
europe,67,78,98
europe,66,105,34
europe,59,50,64
europe,52,54,63
europe,53,102,5
europe,58,103,4
europe,70,110,61
europe,69,136,21
europe,64,112,95
europe,71,58,96
europe,59,-125,107
europe,62,114,-2
europe,60,90,105
europe,58,104,68
europe,57,102,81
europe,61,118,74
europe,69,77,102
europe,68,61,26
europe,63,112,102
europe,60,121,89
europe,61,102,85
europe,61,84,59
