map, turns, p1score, p1_dest_list, p2score, p2_dest_list
usa,66,132,58
usa,65,120,73
usa,63,87,46
usa,67,126,61
usa,67,116,79
usa,73,104,45
usa,57,114,17
usa,62,106,59
usa,64,139,86
usa,62,97,73
usa,74,65,111
usa,74,115,67
usa,64,122,43
usa,69,51,75
usa,65,115,79
usa,68,93,74
usa,69,123,85
usa,80,131,97
usa,59,104,82
usa,66,119,95
usa,70,131,36
usa,66,114,51
usa,61,112,80
usa,72,125,121
usa,67,15,111
usa,71,135,82
usa,58,104,64
usa,60,81,108
usa,59,106,46
usa,60,122,41
usa,64,87,63
usa,68,118,67
usa,63,93,104
usa,59,96,81
usa,66,146,10
usa,87,131,70
usa,71,125,48
usa,68,31,82
usa,62,89,118
usa,62,120,51
usa,63,121,45
usa,63,77,89
usa,67,43,65
usa,74,131,88
usa,62,84,87
usa,64,118,89
usa,64,123,79
usa,64,134,83
usa,68,96,64
usa,66,124,41
usa,73,128,88
usa,64,114,79
usa,75,96,109
usa,67,109,83
usa,65,4,37
usa,63,116,91
usa,69,106,102
usa,62,112,100
usa,62,88,131
usa,72,79,111
usa,64,139,89
usa,64,97,76
usa,72,67,73
usa,63,106,101
usa,81,99,89
usa,70,133,86
usa,85,141,59
usa,73,127,49
usa,62,121,29
usa,67,129,86
usa,74,125,83
usa,68,137,107
usa,74,116,95
usa,64,85,75
usa,75,13,110
usa,67,84,33
usa,71,115,78
usa,73,120,85
usa,75,64,138
usa,69,144,63
usa,74,125,91
usa,70,116,85
usa,61,120,47
usa,73,48,140
usa,72,133,36
usa,62,113,88
usa,68,129,69
usa,94,44,127
usa,66,135,77
usa,67,67,53
usa,70,100,15
usa,75,128,99
usa,68,120,62
usa,70,26,128
usa,60,147,58
usa,72,139,97
usa,71,130,79
usa,65,84,64
usa,64,109,112
usa,66,128,50
usa,75,124,70
usa,75,138,115
usa,62,111,108
usa,71,127,93
usa,65,148,88
usa,67,119,88
usa,69,60,92
usa,75,115,61
usa,86,138,78
usa,62,94,15
usa,71,122,109
usa,65,116,70
usa,76,59,126
usa,66,97,46
usa,73,103,111
usa,57,61,62
usa,73,124,65
usa,58,121,75
usa,61,133,75
usa,77,41,113
usa,76,140,78
usa,81,81,95
usa,69,103,61
usa,61,98,13
usa,63,103,86
usa,75,126,121
usa,64,112,46
usa,59,106,41
usa,80,52,76
usa,60,99,117
usa,58,99,69
usa,64,72,97
usa,69,56,71
usa,71,120,86
usa,69,27,67
usa,64,104,86
usa,69,69,82
usa,64,119,34
usa,83,141,36
usa,74,144,69
usa,59,126,79
