map, turns, p1score, p1_dest_list, p1_bonus_points, p2score, p2_dest_list, p2_bonus_points
nordiccountries,54,14,0,101,15
nordiccountries,61,54,15,17,0
nordiccountries,68,120,15,46,0
nordiccountries,62,45,15,18,0
nordiccountries,90,106,15,-11,0
nordiccountries,52,86,15,38,15
nordiccountries,68,93,15,27,0
nordiccountries,52,103,15,6,0
nordiccountries,68,33,0,86,15
nordiccountries,61,107,15,31,0
nordiccountries,70,10,0,96,15
nordiccountries,67,89,0,56,15
nordiccountries,57,46,0,110,15
nordiccountries,79,92,0,110,15
nordiccountries,59,90,0,50,15
nordiccountries,62,20,0,77,15
nordiccountries,66,92,15,63,0
nordiccountries,80,115,15,16,0
nordiccountries,66,98,15,53,0
nordiccountries,71,29,0,111,15
nordiccountries,62,27,0,88,15
nordiccountries,65,78,0,79,15
nordiccountries,58,94,15,12,0
nordiccountries,51,93,15,-11,0
nordiccountries,59,12,0,95,15
nordiccountries,70,104,0,87,15
nordiccountries,63,102,0,81,15
nordiccountries,79,40,0,98,15
nordiccountries,62,116,15,-18,0
nordiccountries,68,82,0,76,15
nordiccountries,61,24,15,4,0
nordiccountries,78,99,0,107,15
nordiccountries,58,-26,0,14,15
nordiccountries,61,89,0,114,15
nordiccountries,70,112,15,29,0
nordiccountries,52,106,15,69,15
nordiccountries,67,100,15,13,0
nordiccountries,73,94,0,78,15
nordiccountries,66,75,0,68,15
nordiccountries,66,33,15,27,0
nordiccountries,79,123,15,70,15
nordiccountries,58,95,15,-2,0
nordiccountries,72,53,15,-11,0
nordiccountries,64,113,15,-14,0
nordiccountries,61,122,15,10,0
nordiccountries,63,72,0,52,15
nordiccountries,54,102,15,-1,0
nordiccountries,56,73,15,42,0
nordiccountries,59,48,0,81,15
nordiccountries,61,104,0,45,15
nordiccountries,58,77,0,69,15
nordiccountries,66,97,15,65,15
nordiccountries,78,33,0,109,15
nordiccountries,69,81,15,36,15
nordiccountries,66,19,0,94,15
nordiccountries,62,7,0,38,15
nordiccountries,65,13,0,93,15
nordiccountries,65,121,15,10,0
nordiccountries,63,127,15,82,15
nordiccountries,70,99,0,92,15
nordiccountries,58,74,0,73,15
nordiccountries,58,110,15,31,0
nordiccountries,63,97,15,54,0
nordiccountries,79,44,0,70,15
nordiccountries,61,63,15,27,0
nordiccountries,68,63,15,-4,0
nordiccountries,59,120,15,23,15
nordiccountries,69,115,15,42,0
nordiccountries,63,27,0,53,15
nordiccountries,61,123,15,42,0
nordiccountries,53,84,15,44,15
nordiccountries,66,30,0,85,15
nordiccountries,72,128,15,76,15
nordiccountries,61,56,0,80,15
nordiccountries,59,109,15,0,0
nordiccountries,74,16,0,75,15
nordiccountries,81,7,0,120,15
nordiccountries,66,57,0,78,15
nordiccountries,81,79,15,89,15
nordiccountries,66,23,0,36,15
nordiccountries,64,19,15,13,15
nordiccountries,68,38,0,96,15
nordiccountries,81,93,0,84,15
nordiccountries,73,114,15,32,0
nordiccountries,61,46,15,45,15
nordiccountries,55,101,15,6,0
nordiccountries,49,4,0,110,15
nordiccountries,74,-3,0,70,15
nordiccountries,58,113,15,17,0
nordiccountries,63,101,15,91,15
