map, turns, p1score, p1_dest_list, p1_bonus_points, p2score, p2_dest_list, p2_bonus_points
usa1910,63,113,15,74,0
usa1910,67,25,0,101,15
usa1910,66,76,15,109,0
usa1910,77,138,15,81,0
usa1910,64,152,15,74,0
usa1910,81,67,15,110,15
usa1910,71,100,15,103,15
usa1910,72,113,15,68,0
usa1910,67,98,15,101,0
usa1910,73,74,15,45,0
usa1910,70,1,0,92,15
usa1910,73,120,15,63,0
usa1910,63,128,15,62,0
usa1910,68,108,15,122,0
usa1910,70,134,15,40,0
usa1910,73,136,15,88,0
usa1910,57,122,15,57,15
usa1910,72,87,15,78,15
usa1910,79,101,15,134,15
usa1910,59,147,15,-9,0
usa1910,61,131,15,59,0
usa1910,64,119,15,97,0
usa1910,62,104,15,42,0
usa1910,61,112,15,47,0
usa1910,55,84,15,62,0
usa1910,62,122,15,88,15
usa1910,77,134,15,70,0
usa1910,72,147,15,57,0
usa1910,85,83,15,98,0
usa1910,64,115,15,81,0
usa1910,71,150,15,86,0
usa1910,73,131,15,80,0
usa1910,61,126,15,43,15
usa1910,76,131,15,105,0
usa1910,64,106,15,87,15
usa1910,75,112,15,137,15
usa1910,69,132,15,28,0
usa1910,78,130,15,61,0
usa1910,77,163,15,101,0
usa1910,61,110,15,21,0
usa1910,69,95,15,88,0
usa1910,72,143,15,77,0
usa1910,62,130,15,88,15
usa1910,62,110,15,109,15
usa1910,58,118,15,55,0
usa1910,69,101,15,92,0
usa1910,64,98,15,94,0
usa1910,73,136,15,85,0
usa1910,60,105,15,104,0
usa1910,62,112,15,34,0
usa1910,75,90,15,92,15
usa1910,73,108,0,117,15
usa1910,64,124,15,53,0
usa1910,70,109,15,69,0
usa1910,68,119,15,39,0
usa1910,69,142,15,53,0
usa1910,77,97,15,111,0
usa1910,79,138,15,91,0
usa1910,76,133,15,85,0
usa1910,65,120,15,74,0
usa1910,75,20,0,103,15
usa1910,75,63,15,63,0
usa1910,65,118,15,42,0
usa1910,70,120,15,112,15
usa1910,70,119,15,36,0
usa1910,61,115,15,29,0
usa1910,61,96,15,59,0
usa1910,55,120,15,36,0
usa1910,68,114,15,88,15
usa1910,69,107,15,9,0
usa1910,63,133,15,55,0
usa1910,73,127,15,105,0
usa1910,71,17,0,117,15
usa1910,64,80,15,104,15
usa1910,68,123,15,74,0
usa1910,66,102,15,1,0
usa1910,81,119,15,101,15
usa1910,69,96,15,99,0
usa1910,65,151,15,51,0
usa1910,61,124,15,64,0
usa1910,64,135,15,91,0
usa1910,74,140,15,114,0
usa1910,71,140,15,80,0
usa1910,62,101,15,87,0
usa1910,62,103,0,98,15
usa1910,67,137,15,107,0
usa1910,67,112,15,89,0
usa1910,72,141,15,107,0
usa1910,76,124,15,54,0
usa1910,64,120,15,104,15
usa1910,68,86,15,71,0
usa1910,63,128,15,44,0
usa1910,59,95,15,91,0
usa1910,60,21,0,108,15
usa1910,69,91,15,111,15
usa1910,61,125,15,40,0
usa1910,56,121,15,27,0
usa1910,67,119,15,20,0
usa1910,67,126,15,91,0
usa1910,62,103,15,106,15
usa1910,73,64,0,118,15
usa1910,77,126,15,113,0
usa1910,65,127,15,26,0
usa1910,70,111,0,135,15
usa1910,61,90,15,21,0
usa1910,67,100,15,102,15
usa1910,66,136,15,28,0
usa1910,65,132,15,49,0
usa1910,64,103,15,70,0
usa1910,60,78,0,84,15
usa1910,62,123,15,68,15
usa1910,66,106,15,36,0
usa1910,68,104,15,87,0
usa1910,69,142,15,103,0
usa1910,68,131,15,95,0
usa1910,82,48,0,85,15
usa1910,66,138,15,61,0
usa1910,73,120,15,65,0
usa1910,68,134,15,81,15
usa1910,76,77,15,92,0
usa1910,88,84,0,118,15
usa1910,64,120,15,58,0
usa1910,66,116,15,48,0
